systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
778525984199,784351257000,1422575160929338368,784351257000,929347000,25,2,2,23,45,42,930,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.264561,-0.394008,-2.522253,-0.020965,0.007529,-0.479134,0.877459,32901,32.865933,-117.254203,-29.698734,-2455713.742266,-4767203.798494,3441463.345300,3.661935
778550699680,784376257000,1422575160954338304,784376257000,954347000,25,2,2,23,45,42,955,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.266121,-0.400084,-2.518905,-0.020964,0.007469,-0.479147,0.877452,32901,32.865933,-117.254203,-29.726088,-2455713.736016,-4767203.778076,3441463.327418,3.663596
778576136995,784401260000,1422575160979341312,784401260000,979350000,25,2,2,23,45,42,980,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.267120,-0.399011,-2.520199,-0.020970,0.007483,-0.479154,0.877448,133,32.865933,-117.254203,-29.753524,-2455713.729798,-4767203.757573,3441463.309480,3.665270
778600518162,784426257000,1422575161004338176,784426257000,4349000,25,2,2,23,45,43,5,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.267773,-0.394673,-2.524164,-0.020982,0.007533,-0.479159,0.877445,133,32.865933,-117.254203,-29.781118,-2455713.723549,-4767203.736940,3441463.291451,3.666619
778625894847,784451257000,1422575161029338368,784451257000,29349000,25,2,2,23,45,43,30,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.268181,-0.393586,-2.524692,-0.020981,0.007543,-0.479162,0.877444,32901,32.865933,-117.254203,-29.808517,-2455713.717265,-4767203.716466,3441463.273589,3.668658
778650168884,784476257000,1422575161054340352,784476257000,54349000,25,2,2,23,45,43,55,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.268276,-0.390116,-2.526964,-0.020984,0.007579,-0.479162,0.877443,32901,32.865933,-117.254203,-29.638408,-2455713.767637,-4767203.876294,3441463.331434,3.644727
778675459736,784501256000,1422575161079339264,784501256000,79348000,25,2,2,23,45,43,80,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.268814,-0.389270,-2.528700,-0.020994,0.007593,-0.479165,0.877441,133,32.865933,-117.254203,-29.665253,-2455713.761429,-4767203.856609,3441463.313451,3.646687
778700809754,784526256000,1422575161104339456,784526256000,104348000,25,2,2,23,45,43,105,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.269352,-0.395493,-2.523594,-0.020981,0.007524,-0.479171,0.877439,133,32.865933,-117.254203,-29.692363,-2455713.755227,-4767203.836667,3441463.295330,3.648334
778725070514,784551257000,1422575161129340160,784551257000,129349000,25,2,2,23,45,43,130,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.269352,-0.403472,-2.517411,-0.020967,0.007437,-0.479172,0.877439,32901,32.865933,-117.254203,-29.719534,-2455713.749012,-4767203.816676,3441463.277173,3.649993
778750280921,784576257000,1422575161154340352,784576257000,154349000,25,2,2,23,45,43,155,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.270573,-0.394985,-2.523945,-0.020981,0.007530,-0.479180,0.877434,32901,32.865933,-117.254203,-29.746778,-2455713.742807,-4767203.796596,3441463.258998,3.651666
778775161162,784601256000,1422575161179339264,784601256000,179348000,25,2,2,23,45,43,180,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.271797,-0.376769,-2.536840,-0.021004,0.007724,-0.479186,0.877428,32901,32.865933,-117.254203,-29.774078,-2455713.736598,-4767203.776454,3441463.240806,3.653351
778800924995,784626257000,1422575161204340224,784626257000,204349000,25,2,2,23,45,43,205,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.276768,-0.357535,-2.551289,-0.021034,0.007932,-0.479220,0.877407,133,32.865933,-117.254203,-29.801440,-2455713.730373,-4767203.756268,3441463.222573,3.655050
778825375532,784651257000,1422575161229340416,784651257000,229349000,25,2,2,23,45,43,230,25,2,2,23,45,43,0,6,3,32.865938,-117.254198,-24.713000,-2455715.125110,-4767207.363445,3441466.393077,12.335144,13.301846,23.649773,-57.279987,-0.336141,-2.568529,-0.021076,0.008169,-0.479240,0.877393,133,32.865933,-117.254203,-29.829004,-2455713.725371,-4767203.735269,3441463.204219,3.656759
778850698514,784676257000,1422575161254340096,784676257000,254349000,25,2,2,23,45,43,255,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.285461,-0.310450,-2.589732,-0.021131,0.008455,-0.479276,0.877369,32901,32.865932,-117.254203,-29.675538,-2455713.779654,-4767203.867399,3441463.266734,3.633559
778875445051,784701257000,1422575161279340288,784701257000,279349000,25,2,2,23,45,43,280,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.292011,-0.296518,-2.602014,-0.021166,0.008614,-0.479323,0.877341,32901,32.865932,-117.254203,-29.702318,-2455713.773669,-4767203.847850,3441463.248528,3.635541
778900005884,784726257000,1422575161304340480,784726257000,304349000,25,2,2,23,45,43,305,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.293568,-0.311531,-2.591866,-0.021151,0.008457,-0.479338,0.877335,133,32.865932,-117.254203,-29.729363,-2455713.767585,-4767203.828066,3441463.230224,3.637208
778925611032,784751257000,1422575161329340160,784751257000,329349000,25,2,2,23,45,43,330,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.295227,-0.334795,-2.576414,-0.021130,0.008215,-0.479356,0.877328,133,32.865932,-117.254203,-29.756419,-2455713.761455,-4767203.808315,3441463.211889,3.638887
778951334532,784776257000,1422575161354340352,784776257000,354349000,25,2,2,23,45,43,355,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.295673,-0.345897,-2.567782,-0.021110,0.008094,-0.479362,0.877326,32901,32.865932,-117.254203,-29.783550,-2455713.755315,-4767203.788483,3441463.193535,3.640579
778975258754,784801257000,1422575161379340288,784801257000,379349000,25,2,2,23,45,43,380,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.299313,-0.349954,-2.565477,-0.021109,0.008054,-0.479390,0.877311,32901,32.865932,-117.254203,-29.810691,-2455713.749160,-4767203.768656,3441463.175166,3.642285
